Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,38.5%,38.7%,42.4%,37.8%,39.0%
2,Portland,32.5%,27.6%,24.5%,30.2%,34.2%
3,Detroit,30.8%,29.5%,39.6%,34.0%,27.9%
4,Phoenix,30.7%,29.7%,34.7%,29.1%,32.5%
5,Utah,29.7%,27.1%,29.2%,32.5%,26.5%
6,New York,29.7%,24.1%,23.5%,32.0%,27.0%
7,Charlotte,29.3%,24.4%,21.4%,28.0%,30.6%
8,Boston,28.8%,25.8%,25.5%,29.3%,28.2%
9,New Orleans,28.7%,29.8%,20.8%,29.7%,27.4%
10,Denver,28.4%,31.0%,32.6%,28.7%,28.1%
11,Orlando,28.2%,33.6%,33.3%,26.3%,30.3%
12,San Antonio,27.9%,30.3%,35.7%,25.4%,30.9%
13,Philadelphia,27.4%,23.4%,20.0%,26.8%,28.2%
14,Minnesota,26.5%,28.7%,26.1%,27.4%,25.6%
15,Indiana,26.1%,14.6%,7.7%,24.0%,27.8%
16,Cleveland,25.9%,20.3%,8.9%,24.8%,27.3%
17,Memphis,25.7%,32.8%,26.8%,24.3%,27.1%
18,LA Lakers,25.2%,25.5%,35.3%,26.1%,24.5%
19,Golden State,25.1%,29.2%,31.7%,24.2%,25.7%
20,Brooklyn,25.0%,25.0%,27.7%,25.9%,24.1%
21,LA Clippers,24.3%,25.9%,21.2%,24.3%,24.3%
22,Toronto,23.7%,21.4%,23.1%,23.0%,24.3%
23,Okla City,23.3%,19.3%,15.8%,22.9%,23.6%
24,Chicago,23.2%,20.3%,10.0%,25.9%,21.0%
25,Miami,23.1%,28.5%,20.0%,21.8%,24.7%
26,Atlanta,23.1%,25.6%,31.8%,24.1%,22.4%
27,Washington,22.7%,21.5%,16.7%,20.9%,24.0%
28,Dallas,22.3%,25.2%,27.8%,22.1%,22.8%
29,Sacramento,20.3%,23.6%,25.0%,20.5%,20.1%
30,Milwaukee,19.3%,19.2%,22.4%,17.8%,21.2%
