Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,54.7%,51.7%,55.0%,52.5%,56.6%
2,Charlotte,53.8%,48.5%,45.9%,52.4%,55.2%
3,Denver,52.5%,52.8%,53.5%,52.9%,52.2%
4,Orlando,52.3%,54.5%,56.4%,52.9%,51.6%
5,San Antonio,52.3%,51.4%,50.8%,52.6%,51.8%
6,Detroit,52.1%,54.7%,56.5%,51.8%,52.4%
7,New York,51.9%,50.0%,54.1%,53.0%,50.7%
8,LA Lakers,51.8%,53.4%,54.7%,53.0%,51.1%
9,Utah,51.5%,51.3%,49.2%,52.4%,50.4%
10,Portland,51.5%,50.7%,49.2%,52.5%,50.8%
11,Phoenix,50.9%,50.6%,53.8%,51.0%,50.7%
12,Memphis,50.6%,53.0%,53.5%,50.4%,50.9%
13,Philadelphia,50.5%,47.7%,43.6%,50.0%,51.3%
14,Okla City,50.2%,48.2%,47.4%,48.5%,51.6%
15,Toronto,50.1%,53.2%,52.2%,50.0%,50.2%
16,Minnesota,50.1%,50.6%,52.6%,51.5%,48.9%
17,Cleveland,49.6%,49.2%,38.8%,49.9%,49.3%
18,Boston,49.4%,45.0%,43.5%,47.6%,51.5%
19,Chicago,49.3%,45.0%,36.9%,52.6%,46.5%
20,New Orleans,48.9%,55.0%,46.5%,48.2%,49.8%
21,LA Clippers,48.9%,49.1%,45.3%,49.7%,48.3%
22,Miami,48.6%,51.3%,49.1%,47.9%,49.6%
23,Indiana,48.5%,45.2%,47.8%,49.1%,48.0%
24,Golden State,48.3%,45.0%,45.0%,47.3%,49.0%
25,Dallas,48.1%,47.2%,50.0%,48.0%,48.3%
26,Atlanta,48.0%,47.9%,52.9%,47.2%,48.5%
27,Brooklyn,47.2%,53.2%,53.6%,47.4%,47.0%
28,Milwaukee,46.8%,49.0%,50.9%,46.5%,47.2%
29,Sacramento,46.8%,46.7%,46.2%,46.4%,47.2%
30,Washington,46.4%,45.7%,47.1%,45.5%,47.1%
