Rank,Team,2026,Last 3,Last 1,Home,Away
1,Atlanta,30.5,31.0,33.0,28.1,31.9
2,Miami,30.3,28.7,32.0,30.2,30.4
3,Chicago,29.6,27.0,29.0,29.3,30.0
4,Toronto,29.6,25.3,18.0,28.4,30.7
5,Utah,29.6,29.7,32.0,32.0,26.9
6,Denver,29.2,29.3,32.0,31.5,27.2
7,Memphis,29.1,32.3,38.0,29.0,29.1
8,New York,29.0,27.3,26.0,28.7,29.4
9,Golden State,27.4,29.3,25.0,29.5,26.0
10,Cleveland,27.1,27.7,27.0,26.6,27.8
11,Milwaukee,27.0,27.3,31.0,27.5,26.3
12,Detroit,26.6,25.0,20.0,26.8,26.5
13,San Antonio,26.2,22.7,17.0,28.9,22.3
14,Okla City,26.2,29.3,19.0,27.6,24.9
14,Orlando,26.2,33.0,38.0,24.0,28.6
16,LA Lakers,26.0,27.7,29.0,26.9,25.4
16,Washington,26.0,29.7,30.0,25.3,26.5
18,Sacramento,25.9,26.3,20.0,25.4,26.4
19,Phoenix,25.9,21.0,25.0,24.8,27.4
20,Philadelphia,25.8,26.7,22.0,25.8,25.7
21,Minnesota,25.7,21.3,25.0,25.8,25.6
22,Charlotte,25.6,21.7,15.0,25.3,25.8
23,Houston,25.3,23.7,24.0,24.1,26.1
24,Portland,25.1,21.0,21.0,25.0,25.1
25,Brooklyn,24.6,24.3,19.0,24.1,25.0
26,Boston,24.5,25.7,24.0,25.8,22.9
27,LA Clippers,24.0,25.7,24.0,26.3,22.2
28,Dallas,23.8,23.7,22.0,24.2,23.2
29,New Orleans,23.7,27.7,34.0,24.6,22.4
30,Indiana,23.3,22.3,20.0,24.6,22.3
