Rank,Team,2026,Last 3,Last 1,Home,Away
1,Detroit,7.1%,6.7%,8.0%,7.0%,7.3%
2,Philadelphia,7.0%,6.5%,4.0%,7.2%,6.7%
3,Dallas,6.7%,8.3%,5.3%,7.3%,5.5%
4,Cleveland,6.5%,6.2%,4.4%,7.2%,5.6%
5,Okla City,6.3%,6.0%,3.8%,7.4%,5.4%
6,Boston,6.3%,5.8%,7.5%,5.3%,7.5%
7,Atlanta,6.2%,7.1%,7.1%,6.5%,5.9%
8,Washington,6.0%,5.8%,8.4%,6.7%,5.5%
9,Minnesota,6.0%,5.0%,6.2%,6.7%,5.4%
10,Orlando,5.9%,4.0%,4.9%,5.4%,6.4%
11,San Antonio,5.8%,5.2%,6.9%,5.3%,6.6%
12,Chicago,5.8%,7.0%,2.9%,6.9%,5.0%
13,Indiana,5.6%,6.5%,7.8%,4.7%,6.3%
14,Portland,5.5%,7.7%,8.9%,5.9%,5.3%
15,Houston,5.4%,3.8%,3.7%,5.1%,5.7%
16,LA Clippers,5.4%,2.3%,2.3%,6.7%,4.4%
17,Phoenix,5.2%,6.0%,5.8%,5.4%,5.0%
18,New York,5.2%,5.4%,4.7%,4.5%,6.0%
19,Charlotte,5.2%,2.6%,3.4%,5.3%,5.0%
20,Milwaukee,5.1%,5.4%,1.2%,5.3%,4.9%
21,Golden State,5.1%,4.9%,5.1%,4.8%,5.3%
22,Toronto,4.8%,3.8%,5.1%,5.1%,4.6%
23,Memphis,4.8%,6.0%,7.9%,5.3%,4.3%
24,Miami,4.5%,5.5%,7.4%,4.9%,4.0%
25,Brooklyn,4.2%,5.3%,1.1%,3.1%,5.3%
26,New Orleans,4.2%,7.4%,9.3%,4.5%,3.8%
27,Denver,4.2%,4.7%,3.2%,3.8%,4.5%
28,Utah,4.0%,4.0%,5.8%,4.9%,3.1%
29,LA Lakers,3.9%,3.4%,4.9%,3.7%,4.1%
30,Sacramento,3.7%,3.9%,5.5%,3.9%,3.5%
